unit,block,dose,response
U29,B4,25,34.29247680845469
U29,B4,50,54.58470288282202
U29,B4,100,79.4246580066581
U29,B4,200,87.47680131832827
U30,B5,0,25.033326861183337
U30,B5,10,27.848735713434227
U30,B5,25,32.83933431232425
U30,B5,50,54.2954983225687
U30,B5,100,79.20115688304155
U30,B5,200,85.34018898520932
