subject,treatment,time,height
S25,T2,0,16.993861073516562
S25,T2,1,17.579016980998418
S25,T2,2,20.438228901899
S25,T2,3,23.373569702765224
S25,T2,4,23.05908637117064
S25,T2,5,24.57576133470101
S26,T2,0,18.002034472854536
S26,T2,1,22.34034820578854
S26,T2,2,23.402025008328124
S26,T2,3,27.95593439946627
S26,T2,4,29.881587252696267
S26,T2,5,30.600353294115926
S27,T2,0,16.4162026480815
S27,T2,1,18.62968482937629
S27,T2,2,20.832657740532817
S27,T2,3,24.14029872295761
S27,T2,4,25.584200329182025
S27,T2,5,28.02026889610272
S28,T2,0,19.91105605537937
S28,T2,1,22.497665640186916
S28,T2,2,23.47233605680574
S28,T2,3,24.68158791442907
S28,T2,4,29.400823547878257
S28,T2,5,31.04887537273403
S29,T2,0,17.85018750815083
S29,T2,1,19.415391577658585
S29,T2,2,22.843081589259228
S29,T2,3,25.49488583490652
S29,T2,4,28.168094192006407
S29,T2,5,30.87850710584911
S30,T2,0,19.178770111541148
S30,T2,1,22.39586036033201
S30,T2,2,25.32603436556495
S30,T2,3,27.543105966205232
S30,T2,4,30.328818865560176
S30,T2,5,36.849518584154914
