row,col,block,genotype,yield
5,2,B2,G02,54.937166747408206
5,3,B2,G03,73.32817207632091
5,4,B2,G04,63.59888859359688
5,5,B2,G05,64.38650160473885
5,6,B2,G06,68.80291692490837
5,7,B2,G07,73.49991911772545
5,8,B2,G08,68.34629026464346
5,9,B2,G09,68.76232975570355
5,10,B2,G10,64.67841355034105
5,11,B2,G11,63.70626033921282
5,12,B2,G12,72.84715296212592
5,13,B2,G01,70.01415840097499
5,14,B2,G02,61.84207495780037
5,15,B2,G03,72.89449361734535
5,16,B2,G04,66.14157926500013
5,17,B2,G05,67.26402088751894
5,18,B2,G06,67.35686586286033
6,1,B2,G07,71.20402345210537
6,2,B2,G08,66.25177027335332
6,3,B2,G09,68.74129184201281
6,4,B2,G10,63.647461882611964
6,5,B2,G11,61.96775451971055
6,6,B2,G12,67.63843794105686
6,7,B2,G01,69.40420653540421
6,8,B2,G02,63.243291678414884
6,9,B2,G03,70.82656866292717
6,10,B2,G04,67.75044112744266
6,11,B2,G05,68.12337988979027
6,12,B2,G06,70.3349459157382
6,13,B2,G07,73.78345339349637
6,14,B2,G08,68.66833082142745
6,15,B2,G09,65.21685154266271
6,16,B2,G10,66.30635490320864
6,17,B2,G11,60.6775557235135
6,18,B2,G12,67.26528614653763
7,1,B2,G01,67.92193841532456
7,2,B2,G02,54.04946481965861
7,3,B2,G03,71.24873852157019
7,4,B2,G04,65.38070908239192
7,5,B2,G05,67.19963410041338
7,6,B2,G06,69.27588848144634
7,7,B2,G07,73.89255776930834
7,8,B2,G08,68.50034404993175
7,9,B2,G09,70.01766615068077
7,10,B2,G10,66.08155203240203
7,11,B2,G11,61.17655484235059
7,12,B2,G12,69.39198288741595
7,13,B2,G01,72.05785331980434
7,14,B2,G02,57.660839183829786
7,15,B2,G03,72.05553131974935
7,16,B2,G04,67.29043050652076
7,17,B2,G05,61.068376166953804
7,18,B2,G06,66.52147530257103
8,1,B2,G07,69.01051791254409
8,2,B2,G08,66.23738554746105
8,3,B2,G09,64.30680537079245
8,4,B2,G10,65.80115828207906
8,5,B2,G11,59.187829399917156
8,6,B2,G12,69.57462570991456
8,7,B2,G01,69.57525312058243
8,8,B2,G02,59.9358485958238
8,9,B2,G03,67.05779737171171
8,10,B2,G04,64.10531886256499
8,11,B2,G05,66.22279339747355
8,12,B2,G06,68.69720819625819
8,13,B2,G07,67.78303846999596
8,14,B2,G08,69.54688914858684
8,15,B2,G09,64.46908155956424
8,16,B2,G10,63.22709490872085
8,17,B2,G11,60.355931473761096
8,18,B2,G12,64.48162365809763
9,1,B3,G01,65.08836366911986
9,2,B3,G02,54.994801067201465
9,3,B3,G03,66.23189256940425
9,4,B3,G04,65.86305826052998
9,5,B3,G05,62.44076251705894
9,6,B3,G06,68.65567600698107
9,7,B3,G07,71.37854454051393
9,8,B3,G08,71.92019860825337
9,9,B3,G09,65.93712027490108
9,10,B3,G10,66.76989241341968
9,11,B3,G11,64.3943981015991
9,12,B3,G12,67.7614766486352
9,13,B3,G01,70.77742577353219
9,14,B3,G02,51.794627299068395
9,15,B3,G03,67.33931032762202
9,16,B3,G04,60.438971526709274
9,17,B3,G05,65.81638245908758
9,18,B3,G06,60.73718052173645
10,1,B3,G07,67.84805424396308
10,2,B3,G08,65.62242825239815
10,3,B3,G09,65.70779880553353
10,4,B3,G10,65.31726525646019
10,5,B3,G11,57.483938576898225
10,6,B3,G12,61.49132345959937
10,7,B3,G01,69.32524337349207
10,8,B3,G02,54.800536311209456
10,9,B3,G03,67.68882549167034
10,10,B3,G04,66.0201589796173
10,11,B3,G05,64.53710934642358
10,12,B3,G06,70.59165120532839
10,13,B3,G07,72.64836953117913
10,14,B3,G08,70.61375332363238
10,15,B3,G09,61.38755212426122
10,16,B3,G10,67.82286236820481
10,17,B3,G11,56.15739560738715
10,18,B3,G12,64.6992021460314
11,1,B3,G01,68.7065494869107
11,2,B3,G02,53.58424573500407
11,3,B3,G03,69.93741559719884
11,4,B3,G04,65.824920250539
11,5,B3,G05,65.38284966319074
11,6,B3,G06,66.58987637563654
11,7,B3,G07,72.0603725801092
11,8,B3,G08,64.37026114145235
11,9,B3,G09,68.08119271231021
11,10,B3,G10,67.58416679283673
11,11,B3,G11,58.42907708801495
11,12,B3,G12,67.25657296733776
11,13,B3,G01,69.80951283725317
11,14,B3,G02,54.54137474358634
11,15,B3,G03,66.98655153633615
11,16,B3,G04,61.45584583915107
11,17,B3,G05,57.787092032155954
11,18,B3,G06,69.73866393613935
12,1,B3,G07,71.09142715350718
12,2,B3,G08,67.33639178195317
12,3,B3,G09,62.31087442291144
12,4,B3,G10,66.33410471142847
12,5,B3,G11,63.0999449338979
12,6,B3,G12,67.7079991643448
12,7,B3,G01,71.62309919277932
12,8,B3,G02,58.27713520407141
12,9,B3,G03,73.33871191413297
12,10,B3,G04,65.23773760732458
12,11,B3,G05,65.41539177417802
12,12,B3,G06,67.33844168244275
12,13,B3,G07,73.69504823721007
12,14,B3,G08,63.639024120698814
12,15,B3,G09,64.0020707504923
12,16,B3,G10,63.053998030282266
12,17,B3,G11,56.58113811430559
12,18,B3,G12,64.49354125993496
